#{"t_start": 1779246203.9759107, "env_id": "CartPole-v1"}
r,l,t
19.0,19,1.551199
23.0,23,1.610053
12.0,12,1.639607
16.0,16,1.680665
12.0,12,1.709961
20.0,20,1.762552
14.0,14,1.7976
17.0,17,2.557126
21.0,21,2.612038
33.0,33,2.69618
15.0,15,2.735508
17.0,17,2.777369
18.0,18,2.822937
14.0,14,2.858482
16.0,16,3.473398
36.0,36,3.566201
45.0,45,3.680614
23.0,23,3.737201
38.0,38,4.404943
55.0,55,4.546388
58.0,58,5.26429
39.0,39,5.368372
40.0,40,5.469775
107.0,107,6.323199
82.0,82,7.098798
58.0,58,7.246981
115.0,115,8.108074
194.0,194,9.750775
91.0,91,9.982935
279.0,279,11.866526
267.0,267,14.303964
211.0,211,15.436228
224.0,224,17.218913
192.0,192,18.333869
151.0,151,19.936537
200.0,200,21.011109
152.0,152,21.965856
218.0,218,23.634971
246.0,246,25.355066
134.0,134,26.268569
165.0,165,27.258115
108.0,108,28.146696
401.0,401,31.017668
487.0,487,34.214439
145.0,145,35.01644
148.0,148,35.819705
104.0,104,36.53864
139.0,139,37.325766
156.0,156,38.150788
44.0,44,38.730168
177.0,177,39.604879
276.0,276,41.171687
117.0,117,41.913938
318.0,318,44.05158
500.0,500,47.089619
500.0,500,50.128561
500.0,500,52.714742
241.0,241,54.200571
500.0,500,57.292864
500.0,500,60.350385
129.0,129,61.140439
500.0,500,64.178202
266.0,266,65.824356
371.0,371,68.158817
500.0,500,71.311393
500.0,500,74.461215
500.0,500,77.615647
500.0,500,80.75718
